line_objectid,line_name,voltage_code,voltage_kv,ruleid,shape_length_attribute,geometry_type,parts,geometry_valid,source_layer,source_url
1,Arenal-Ciudad Quesada,1,230.0,5,0.743143557,MultiLineString,5,True,DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2
2,Rio Macho-Moin,1,230.0,5,1.040126264,MultiLineString,12,True,DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2
3,Arenal-Canas,1,230.0,5,0.147835927,MultiLineString,3,True,DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2
4,Arenal-Barranca,1,230.0,5,0.604190598,MultiLineString,3,True,DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2
5,Barranca-La Caja,1,230.0,5,0.58821299,MultiLineString,5,True,DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2
6,Barranca-La Garita,1,230.0,5,0.545557746,MultiLineString,4,True,DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2
7,Cachi-Moin,2,138.0,5,0.133131277,MultiLineString,2,True,DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2
8,Cachi-Colima,2,138.0,5,0.405724455,MultiLineString,3,True,DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2
9,San Miguel-La Caja-Belén,1,230.0,5,0.207752265,MultiLineString,2,True,DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2
10,El Este-La Caja,2,138.0,5,0.276652725,MultiLineString,4,True,DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2
