node_id,objectid,name,region,province,canton,district,longitude,latitude,geometry_type,geometry_valid,source_layer,source_url
ST_1,1,Pailas,Chorotega,Guanacaste,Liberia,Curubande,-85.358957409,10.756104957,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_2,2,Palmar,Huetar Brunca,Puntarenas,Osa,Palmar,-83.421961172,8.943493255,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_3,3,Nuevo Colon,Chorotega,Guanacaste,Carrillo,Sandillal,-85.714912701,10.507231588,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_4,4,Naranjo,Central,Alajuela,Naranjo,Naranjo,-84.371280491,10.087348053,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_5,5,Moin,Huetar Brunca,Limón,Limón,Rio Blanco,-83.102240597,9.994481001,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_6,6,Mogote,Chorotega,Guanacaste,Bagaces,Mogote,-85.267613877,10.725726957,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_7,7,Liberia,Chorotega,Guanacaste,Liberia,Liberia,-85.445745785,10.615366757,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_8,8,La Garita,Central,Alajuela,Alajuela,Turrucares,-84.359330526,9.928721384,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_9,9,Leesville,Huetar Brunca,Limón,Pococi,Roxana,-83.755214085,10.2624014,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
ST_10,10,Guayabal,Chorotega,Guanacaste,Santa Cruz,Santa Cruz,-85.569414479,10.266454308,Point,True,DT_SNIT_v2/FeatureServer/3,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/3
