source_index,target_index,source_id,target_id,source_name,target_name,length_km,voltage_kv,circuits,raw_weight,weight,line_objectids,line_names,max_snap_distance_m,detour_ratio,confidence,validation_status,validation_basis,manual_evidence_files,operational_connectivity_confirmed,source_layer,source_url,weight_definition
0,1,ST_11,ST_37,La Caja,Lindora,11.822756405,230,2,11.822756405,11.822756405,9|453,Lindora-La Caja2|San Miguel-La Caja-Belén,188.619927991,1.159354702,media confianza,VALIDADA,geoespacial|geoespacial + terminales en nombre oficial,,False,ICE DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2,sum(route_length_km * (voltage_kv / 230)); sin normalización
0,2,ST_11,ST_44,La Caja,San Miguel,13.244501862,230,1,13.244501862,13.244501862,9,San Miguel-La Caja-Belén,111.891113977,1.081130318,media confianza,VALIDADA,geoespacial,,False,ICE DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2,sum(route_length_km * (voltage_kv / 230)); sin normalización
0,3,ST_11,ST_63,La Caja,Escazú,3.278576116,138,1,1.96714567,1.96714567,10,El Este-La Caja,74.586796426,1.004312001,alta confianza,VALIDADA,geoespacial,,False,ICE DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2,sum(route_length_km * (voltage_kv / 230)); sin normalización
0,4,ST_11,ST_75,La Caja,Ribera,2.914285793,230,1,2.914285793,2.914285793,9,San Miguel-La Caja-Belén,139.783806904,0.991341084,media confianza,VALIDADA,geoespacial,,False,ICE DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2,sum(route_length_km * (voltage_kv / 230)); sin normalización
1,10,ST_37,ST_50,Lindora,Tarbaca,33.034254275,230,1,33.034254275,33.034254275,26,Lindora-Tarbaca,107.074334179,1.860322917,media confianza,VALIDADA,geoespacial + terminales en nombre oficial,,False,ICE DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2,sum(route_length_km * (voltage_kv / 230)); sin normalización
2,9,ST_44,ST_64,San Miguel,Coronado,5.77783263,230,1,5.77783263,5.77783263,21,Rio Macho-San Miguel,85.059222244,1.274209827,media confianza,VALIDADA,geoespacial,,False,ICE DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2,sum(route_length_km * (voltage_kv / 230)); sin normalización
5,3,ST_26,ST_63,Alajuelita,Escazú,8.178559041,138,1,4.907135425,4.907135425,10,El Este-La Caja,230.626452917,1.331928214,media confianza,VALIDADA,geoespacial + corroboración visual manual,evidencia/escazu.png|evidencia/alajuelita.png,False,ICE DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2,sum(route_length_km * (voltage_kv / 230)); sin normalización
5,6,ST_26,ST_41,Alajuelita,Anonos,2.195730138,138,1,1.317438083,1.317438083,413,Anonos-Alajuelita,129.593122093,0.949462276,media confianza,VALIDADA,geoespacial,,False,ICE DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2,sum(route_length_km * (voltage_kv / 230)); sin normalización
7,4,ST_28,ST_75,Belen,Ribera,0.679546584,230,1,0.679546584,0.679546584,9,San Miguel-La Caja-Belén,50.082320025,0.932735917,alta confianza,VALIDADA,geoespacial,,False,ICE DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2,sum(route_length_km * (voltage_kv / 230)); sin normalización
8,9,ST_36,ST_64,El Este,Coronado,14.398023623,230,1,14.398023623,14.398023623,21,Rio Macho-San Miguel,85.059222244,1.534931358,media confianza,VALIDADA,geoespacial,,False,ICE DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2,sum(route_length_km * (voltage_kv / 230)); sin normalización
11,2,ST_38,ST_44,Colima,San Miguel,5.394501643,138,1,3.236700986,3.236700986,8,Cachi-Colima,140.568200966,1.090408452,media confianza,VALIDADA,geoespacial,,False,ICE DT_SNIT_v2/FeatureServer/2,https://geoportal.ice.go.cr/serverene/rest/services/Hosted/DT_SNIT_v2/FeatureServer/2,sum(route_length_km * (voltage_kv / 230)); sin normalización
