n,metodo,ejecuciones,media,desviacion,mejor,optimo_exacto,razon_media,razon_mejor,limite_sdp
6,Exacto,32,38.301789578,0.0,38.301789578,38.301789578,1.0,1.0,
6,Greedy,100,37.897341293900006,1.4816234879719448,38.301789578,38.301789578,0.9894404859784333,1.0,
6,Recocido simulado,100,38.301789578000005,7.141223187966347e-14,38.301789578,38.301789578,1.0000000000000002,1.0,
6,Goemans-Williamson,1000,38.301789578000005,3.981030333300973e-13,38.301789578,38.301789578,1.0000000000000002,1.0,38.30183200994658
6,Aleatorio teórico,0,19.150894789,,,38.301789578,0.5,,
8,Exacto,128,42.218037148,0.0,42.218037148,42.218037148,1.0,1.0,
8,Greedy,100,41.1202489483,2.2780679279819647,42.218037148,42.218037148,0.9739971757604082,1.0,
8,Recocido simulado,100,42.218037148,7.855345506762982e-14,42.218037148,42.218037148,1.0,1.0,
8,Goemans-Williamson,1000,42.21803714799999,4.834108261865467e-13,42.218037148,42.218037148,0.9999999999999998,1.0,42.21803817449463
8,Aleatorio teórico,0,21.109018573999997,,,42.218037148,0.4999999999999999,,
10,Exacto,512,87.07504782800001,0.0,87.07504782800001,87.07504782800001,1.0,1.0,
10,Greedy,100,83.58163913550001,4.247350793785239,87.07504782800001,87.07504782800001,0.9598804849421323,1.0,
10,Recocido simulado,100,87.07504782800004,9.997712463152887e-14,87.07504782800001,87.07504782800001,1.0000000000000002,1.0,
10,Goemans-Williamson,1000,87.075047828,4.834108261865467e-13,87.07504782800001,87.07504782800001,0.9999999999999999,1.0,87.07505641595269
10,Aleatorio teórico,0,43.537523914,,,87.07504782800001,0.49999999999999994,,
12,Exacto,2048,93.299621336,0.0,93.299621336,93.299621336,1.0,1.0,
12,Greedy,100,89.93976396059999,3.8062585424560855,93.299621336,93.299621336,0.9639885207754472,1.0,
12,Recocido simulado,100,93.20674779758,0.4209448689355267,93.299621336,93.299621336,0.9990045668236365,1.0,
12,Goemans-Williamson,1000,93.299621336,1.037911479753468e-12,93.299621336,93.299621336,1.0,1.0,93.2996207046168
12,Aleatorio teórico,0,46.649810668,,,93.299621336,0.5,,
