n,reinicio,seed,valor_corte,bitstring,movimientos,runtime_seconds
6,0,62026,38.301789578,100010,1,0.0005303750003804453
6,1,62027,38.301789578,011101,3,0.0006586660001630662
6,2,62028,38.301789578,011101,3,0.0005719349996979872
6,3,62029,38.301789578,100010,1,0.00034024400019916357
6,4,62030,38.301789578,011101,2,0.00037483300002350006
6,5,62031,38.301789578,100010,3,0.0005341450000742043
6,6,62032,38.301789578,100010,1,0.0003224929996576975
6,7,62033,38.301789578,100010,4,0.0006857769999442098
6,8,62034,38.301789578,011101,3,0.000949009000123624
6,9,62035,38.301789578,100010,3,0.0010284190002494142
6,10,62036,38.301789578,011101,2,0.0010053299997707654
6,11,62037,32.523956948000006,011110,1,0.0004415339999468415
6,12,62038,38.301789578,011101,1,0.0009150390001195774
6,13,62039,38.301789578,100010,2,0.0013602630001514626
6,14,62040,38.301789578,100010,1,0.0005173739996280347
6,15,62041,32.523956948000006,011110,1,0.00037631400027748896
6,16,62042,38.301789578,100010,2,0.0004255139997439983
6,17,62043,38.301789578,011101,2,0.00046551400009775534
6,18,62044,38.301789578,100010,1,0.0003044929999305168
6,19,62045,38.301789578,100010,1,0.00039880399981484516
6,20,62046,38.301789578,011101,1,0.00035011299996767775
6,21,62047,38.301789578,100010,3,0.0005678950001311023
6,22,62048,38.301789578,011101,2,0.0003970440002376563
6,23,62049,38.301789578,011101,1,0.000346523000189336
6,24,62050,38.301789578,011101,1,0.0002925129997493059
6,25,62051,38.301789578,100010,1,0.00028904300006615813
6,26,62052,38.301789578,100010,3,0.000727687000107835
6,27,62053,38.301789578,100010,4,0.000587094999900728
6,28,62054,38.301789578,100010,1,0.0003268430000389344
6,29,62055,38.301789578,011101,1,0.00029030299992882647
6,30,62056,38.301789578,100010,1,0.0007947070002956025
6,31,62057,38.301789578,100010,3,0.0006156659997031966
6,32,62058,38.301789578,011101,2,0.00045880400011810707
6,33,62059,38.301789578,100010,3,0.0004673550001825788
6,34,62060,38.301789578,100010,4,0.000617104999946605
6,35,62061,38.301789578,100010,3,0.0004667749999498483
6,36,62062,38.301789578,011101,1,0.0003805530000136059
6,37,62063,38.301789578,011101,2,0.0007426769998346572
6,38,62064,32.523956948000006,011110,1,0.0003083229998992465
6,39,62065,38.301789578,100010,2,0.0005334940001375799
6,40,62066,38.301789578,011101,3,0.0008442370003649557
6,41,62067,38.301789578,100010,2,0.0007074569998621882
6,42,62068,38.301789578,100010,2,0.0007614269998157397
6,43,62069,38.301789578,011101,1,0.0004540639997685503
6,44,62070,38.301789578,011101,1,0.000504075000208104
6,45,62071,38.301789578,011101,2,0.00039549399980387534
6,46,62072,38.301789578,100010,2,0.00044061400012651575
6,47,62073,38.301789578,011101,4,0.0007093659996826318
6,48,62074,38.301789578,100010,2,0.0004159139998591854
6,49,62075,38.301789578,100010,3,0.0005028249997849343
6,50,62076,38.301789578,011101,2,0.0005587350001405866
6,51,62077,38.301789578,011101,4,0.0007609870003761898
6,52,62078,38.301789578,100010,2,0.00056132500003514
6,53,62079,38.301789578,011101,4,0.0005698560003111197
6,54,62080,38.301789578,100010,2,0.0004976539999006491
6,55,62081,38.301789578,011101,1,0.0007111770000847173
6,56,62082,38.301789578,100010,3,0.0004882549997091701
6,57,62083,38.301789578,100010,3,0.0005822250000164786
6,58,62084,38.301789578,011101,3,0.0007558070001323358
6,59,62085,38.301789578,100010,1,0.0004892449996987125
6,60,62086,38.301789578,100010,1,0.00034613299976626877
6,61,62087,38.301789578,100010,1,0.00032620299998598057
6,62,62088,38.301789578,100010,1,0.0005995050000819901
6,63,62089,38.301789578,100010,2,0.0005196649999561487
6,64,62090,38.301789578,100010,1,0.0005745460002799518
6,65,62091,38.301789578,100010,1,0.00035028299998884904
6,66,62092,38.301789578,100010,2,0.00036294300025474513
6,67,62093,38.301789578,011101,3,0.00051717499991355
6,68,62094,38.301789578,100010,1,0.00029717300003540004
6,69,62095,38.301789578,100010,3,0.0005155250000825617
6,70,62096,38.301789578,100010,0,0.00021212199999354198
6,71,62097,38.301789578,011101,3,0.0005269439998301095
6,72,62098,38.301789578,100010,1,0.00027732299986382714
6,73,62099,38.301789578,100010,3,0.00047344399990834063
6,74,62100,32.523956948000006,100001,1,0.00031940300004862365
6,75,62101,38.301789578,011101,2,0.00039580400016347994
6,76,62102,38.301789578,011101,2,0.0005476149999594782
6,77,62103,38.301789578,100010,4,0.0011097410001639219
6,78,62104,38.301789578,011101,0,0.0004164040001342073
6,79,62105,32.523956948000006,100001,1,0.0002849719999176159
6,80,62106,38.301789578,011101,3,0.0006717669998579368
6,81,62107,38.301789578,011101,2,0.00037990299961165874
6,82,62108,38.301789578,100010,1,0.0005299549998198927
6,83,62109,38.301789578,011101,3,0.00045793500021318323
6,84,62110,38.301789578,100010,3,0.0008130770002026111
6,85,62111,38.301789578,100010,1,0.0007196169999588165
6,86,62112,38.301789578,100010,2,0.0005644950001624238
6,87,62113,38.301789578,100010,2,0.0013918539998485358
6,88,62114,38.301789578,100010,2,0.0007419269995807554
6,89,62115,32.523956948000006,100001,0,0.0005401749999691674
6,90,62116,38.301789578,100010,2,0.0005725350001739571
6,91,62117,38.301789578,011101,3,0.000919249000162381
6,92,62118,38.301789578,100010,2,0.0007379670000773331
6,93,62119,38.301789578,011101,4,0.001260931000160781
6,94,62120,38.301789578,100010,0,0.000515714999892225
6,95,62121,38.301789578,011101,3,0.0007525569999415893
6,96,62122,32.523956948000006,011110,2,0.0003712739999173209
