,ST_11,ST_37,ST_44,ST_63,ST_75,ST_50,ST_64,ST_28,ST_36,ST_38
ST_11,-29.94868973,11.822756405,13.244501862,1.96714567,2.914285793,0.0,0.0,0.0,0.0,0.0
ST_37,11.822756405,-44.85701068,0.0,0.0,0.0,33.034254275,0.0,0.0,0.0,0.0
ST_44,13.244501862,0.0,-22.259035477999998,0.0,0.0,0.0,5.77783263,0.0,0.0,3.236700986
ST_63,1.96714567,0.0,0.0,-1.96714567,0.0,0.0,0.0,0.0,0.0,0.0
ST_75,2.914285793,0.0,0.0,0.0,-3.593832377,0.0,0.0,0.679546584,0.0,0.0
ST_50,0.0,33.034254275,0.0,0.0,0.0,-33.034254275,0.0,0.0,0.0,0.0
ST_64,0.0,0.0,5.77783263,0.0,0.0,0.0,-20.175856253,0.0,14.398023623,0.0
ST_28,0.0,0.0,0.0,0.0,0.679546584,0.0,0.0,-0.679546584,0.0,0.0
ST_36,0.0,0.0,0.0,0.0,0.0,0.0,14.398023623,0.0,-14.398023623,0.0
ST_38,0.0,0.0,3.236700986,0.0,0.0,0.0,0.0,0.0,0.0,-3.236700986
