bitstring,valor_qubo,valor_maxcut,suma_debe_ser_cero
000000,0.0,0.0,0.0
000001,-14.398023623,14.398023623,0.0
000010,-20.175856253,20.175856253,0.0
000011,-5.777832629999999,5.77783263,8.881784197001252e-16
000100,-2.914285793,2.914285793,0.0
000101,-17.312309416,17.312309416,0.0
000110,-23.090142046,23.090142046,0.0
000111,-8.692118422999998,8.692118423,1.7763568394002505e-15
001000,-1.96714567,1.96714567,0.0
001001,-16.365169293,16.365169293,0.0
001010,-22.143001923,22.143001923,0.0
001011,-7.744978299999999,7.7449783,8.881784197001252e-16
001100,-4.881431463,4.881431463,0.0
001101,-19.279455086,19.279455086,0.0
001110,-25.057287715999998,25.057287716,3.552713678800501e-15
001111,-10.659264092999999,10.659264093,1.7763568394002505e-15
010000,-19.022334492,19.022334492,0.0
010001,-33.420358115,33.420358115,0.0
010010,-27.642525485,27.642525485,0.0
010011,-13.244501862,13.244501862,0.0
010100,-21.936620285,21.936620285,0.0
010101,-36.334643908000004,36.334643908000004,0.0
010110,-30.556811278,30.556811278,0.0
010111,-16.158787655,16.158787655,0.0
011000,-20.989480162,20.989480162,0.0
011001,-35.387503785,35.387503785,0.0
011010,-29.609671155,29.609671155,0.0
011011,-15.211647532,15.211647532,0.0
011100,-23.903765955,23.903765955,0.0
011101,-38.301789578,38.301789578,0.0
011110,-32.523956948000006,32.523956948000006,0.0
011111,-18.125933325000002,18.125933325000002,0.0
100000,-18.125933325000002,18.125933325000002,0.0
100001,-32.523956948000006,32.523956948000006,0.0
100010,-38.301789578,38.301789578,0.0
100011,-23.903765955,23.903765955,0.0
100100,-15.211647532000002,15.211647532,-1.7763568394002505e-15
100101,-29.609671155,29.609671155,0.0
100110,-35.387503785,35.387503785,0.0
100111,-20.989480162,20.989480162,0.0
101000,-16.158787655,16.158787655,0.0
101001,-30.556811278,30.556811278,0.0
101010,-36.334643908000004,36.334643908000004,0.0
101011,-21.936620285,21.936620285,0.0
101100,-13.244501862000002,13.244501862,-1.7763568394002505e-15
101101,-27.642525485,27.642525485,0.0
101110,-33.420358115,33.420358115,0.0
101111,-19.022334492,19.022334492,0.0
110000,-10.659264093,10.659264093,0.0
110001,-25.057287716,25.057287716,0.0
110010,-19.279455086000002,19.279455086,-3.552713678800501e-15
110011,-4.881431463000001,4.881431463,-8.881784197001252e-16
110100,-7.7449783,7.7449783,0.0
110101,-22.143001923,22.143001923,0.0
110110,-16.365169293,16.365169293,0.0
110111,-1.9671456699999998,1.96714567,2.220446049250313e-16
111000,-8.692118423,8.692118423,0.0
111001,-23.090142046,23.090142046,0.0
111010,-17.312309416,17.312309416,0.0
111011,-2.9142857930000003,2.914285793,-4.440892098500626e-16
111100,-5.777832629999999,5.77783263,8.881784197001252e-16
111101,-20.175856253,20.175856253,0.0
111110,-14.398023623,14.398023623,0.0
111111,8.881784197001252e-16,0.0,8.881784197001252e-16
