n,p,bitstring,frecuencia,probabilidad,costo,es_optimo
6,1,100010,42,0.08203125,38.301789578000005,True
6,1,011101,41,0.080078125,38.301789578000005,True
6,1,100110,33,0.064453125,36.334643908000004,False
6,1,011001,31,0.060546875,36.334643908000004,False
6,1,011100,39,0.076171875,35.387503785,False
6,1,100011,28,0.0546875,35.387503785,False
6,1,100111,26,0.05078125,33.420358115,False
6,1,011000,26,0.05078125,33.420358115,False
6,1,001111,36,0.0703125,32.523956948000006,False
6,1,110000,29,0.056640625,32.523956948000006,False
6,1,001011,31,0.060546875,30.556811278,False
6,1,110100,27,0.052734375,30.556811278,False
6,1,110001,28,0.0546875,29.609671155,False
6,1,001110,19,0.037109375,29.609671155,False
6,1,001010,17,0.033203125,27.642525485,False
6,1,110101,14,0.02734375,27.642525485,False
6,1,000111,6,0.01171875,25.057287715999998,False
6,1,111000,5,0.009765625,25.057287715999998,False
6,1,001101,2,0.00390625,23.903765955,False
6,1,110010,1,0.001953125,23.903765955,False
6,1,111100,3,0.005859375,23.090142046,False
6,1,000011,1,0.001953125,23.090142046,False
6,1,111001,3,0.005859375,22.143001923,False
6,1,000110,1,0.001953125,22.143001923,False
6,1,110110,2,0.00390625,21.936620285,False
6,1,001001,1,0.001953125,21.936620285,False
6,1,110011,3,0.005859375,20.989480162,False
6,1,101010,1,0.001953125,19.279455086,False
6,1,001000,3,0.005859375,19.022334492,False
6,1,110111,2,0.00390625,19.022334492,False
6,1,010000,2,0.00390625,14.398023623,False
6,1,101000,1,0.001953125,10.659264093,False
6,1,010011,2,0.00390625,8.692118423,False
6,1,010110,2,0.00390625,7.7449783,False
6,1,111010,1,0.001953125,4.881431463,False
6,1,000001,2,0.00390625,2.914285793,False
6,1,111111,1,0.001953125,0.0,False
6,2,100010,57,0.111328125,38.301789578000005,True
6,2,011101,56,0.109375,38.301789578000005,True
6,2,011001,38,0.07421875,36.334643908000004,False
6,2,100110,38,0.07421875,36.334643908000004,False
6,2,011100,43,0.083984375,35.387503785,False
6,2,100011,32,0.0625,35.387503785,False
6,2,011000,25,0.048828125,33.420358115,False
6,2,100111,24,0.046875,33.420358115,False
6,2,001111,43,0.083984375,32.523956948000006,False
6,2,110000,32,0.0625,32.523956948000006,False
6,2,001011,25,0.048828125,30.556811278,False
6,2,110100,25,0.048828125,30.556811278,False
6,2,110001,19,0.037109375,29.609671155,False
6,2,001110,8,0.015625,29.609671155,False
6,2,001010,14,0.02734375,27.642525485,False
6,2,110101,11,0.021484375,27.642525485,False
6,2,000111,3,0.005859375,25.057287715999998,False
6,2,111000,1,0.001953125,25.057287715999998,False
6,2,001101,3,0.005859375,23.903765955,False
6,2,110010,2,0.00390625,23.903765955,False
6,2,111100,3,0.005859375,23.090142046,False
6,2,000011,1,0.001953125,23.090142046,False
6,2,111001,2,0.00390625,22.143001923,False
6,2,110011,2,0.00390625,20.989480162,False
6,2,111101,1,0.001953125,20.175856253,False
6,2,011011,1,0.001953125,16.158787655,False
6,2,010000,1,0.001953125,14.398023623,False
6,2,101100,1,0.001953125,8.692118423,False
6,2,010010,1,0.001953125,5.77783263,False
6,3,011101,108,0.2109375,38.301789578000005,True
6,3,100010,97,0.189453125,38.301789578000005,True
6,3,011001,46,0.08984375,36.334643908000004,False
6,3,100110,45,0.087890625,36.334643908000004,False
6,3,011100,39,0.076171875,35.387503785,False
6,3,100011,34,0.06640625,35.387503785,False
6,3,011000,20,0.0390625,33.420358115,False
6,3,100111,18,0.03515625,33.420358115,False
6,3,001111,26,0.05078125,32.523956948000006,False
6,3,110000,23,0.044921875,32.523956948000006,False
6,3,110100,16,0.03125,30.556811278,False
6,3,001011,9,0.017578125,30.556811278,False
6,3,110001,4,0.0078125,29.609671155,False
6,3,001110,3,0.005859375,29.609671155,False
6,3,110101,3,0.005859375,27.642525485,False
6,3,001010,1,0.001953125,27.642525485,False
6,3,111000,5,0.009765625,25.057287715999998,False
6,3,000111,3,0.005859375,25.057287715999998,False
6,3,001101,1,0.001953125,23.903765955,False
6,3,110010,1,0.001953125,23.903765955,False
6,3,111100,1,0.001953125,23.090142046,False
6,3,000011,1,0.001953125,23.090142046,False
6,3,001001,1,0.001953125,21.936620285,False
6,3,110011,2,0.00390625,20.989480162,False
6,3,001100,1,0.001953125,20.989480162,False
6,3,001000,2,0.00390625,19.022334492,False
6,3,101110,1,0.001953125,17.312309416,False
6,3,010010,1,0.001953125,5.77783263,False
8,1,11010010,12,0.0234375,42.218037148,True
8,1,00101101,10,0.01953125,42.218037148,True
8,1,01101101,12,0.0234375,41.53849056400001,False
8,1,10010010,10,0.01953125,41.53849056400001,False
8,1,11010110,11,0.021484375,40.250891478,False
8,1,00101001,11,0.021484375,40.250891478,False
8,1,01101001,17,0.033203125,39.571344894,False
8,1,10010110,8,0.015625,39.571344894,False
8,1,10010011,11,0.021484375,39.303751355,False
8,1,01101100,10,0.01953125,39.303751355,False
8,1,00111101,7,0.013671875,38.981336162,False
8,1,11000010,7,0.013671875,38.981336162,False
8,1,00101100,7,0.013671875,38.624204771,False
8,1,11010011,7,0.013671875,38.624204771,False
8,1,01111101,9,0.017578125,38.301789578000005,False
8,1,10000010,7,0.013671875,38.301789578000005,False
8,1,10010111,14,0.02734375,37.336605685,False
8,1,01101000,4,0.0078125,37.336605685,False
8,1,11000110,10,0.01953125,37.014190492000004,False
8,1,00111001,5,0.009765625,37.014190492000004,False
8,1,00101000,7,0.013671875,36.657059101,False
8,1,11010111,4,0.0078125,36.657059101,False
8,1,00001111,11,0.021484375,36.440204518,False
8,1,11110000,10,0.01953125,36.440204518,False
8,1,01111001,6,0.01171875,36.334643908000004,False
8,1,10000110,6,0.01171875,36.334643908000004,False
8,1,01111100,11,0.021484375,36.067050369,False
8,1,10000011,4,0.0078125,36.067050369,False
8,1,10110000,13,0.025390625,35.76065793400001,False
8,1,01001111,8,0.015625,35.76065793400001,False
8,1,11000011,5,0.009765625,35.387503785,False
8,1,00111100,3,0.005859375,35.387503785,False
8,1,11110100,12,0.0234375,34.473058848,False
8,1,00001011,4,0.0078125,34.473058848,False
8,1,01111000,5,0.009765625,34.099904699,False
8,1,10000111,4,0.0078125,34.099904699,False
8,1,10110100,10,0.01953125,33.793512264,False
8,1,01001011,8,0.015625,33.793512264,False
8,1,10110001,6,0.01171875,33.525918725000004,False
8,1,01001110,4,0.0078125,33.525918725000004,False
8,1,00111000,4,0.0078125,33.420358115,False
8,1,11000111,3,0.005859375,33.420358115,False
8,1,00011111,11,0.021484375,33.203503532,False
8,1,11100000,7,0.013671875,33.203503532,False
8,1,00001110,11,0.021484375,32.846372141,False
8,1,11110001,5,0.009765625,32.846372141,False
8,1,10100000,9,0.017578125,32.523956948000006,False
8,1,01011111,3,0.005859375,32.523956948000006,False
8,1,01001010,6,0.01171875,31.558773055,False
8,1,10110101,3,0.005859375,31.558773055,False
8,1,00011011,5,0.009765625,31.236357862000002,False
8,1,11100100,4,0.0078125,31.236357862000002,False
8,1,00001010,6,0.01171875,30.879226471,False
8,1,11110101,3,0.005859375,30.879226471,False
8,1,01011011,8,0.015625,30.556811278,False
8,1,10100100,6,0.01171875,30.556811278,False
8,1,10100001,4,0.0078125,30.289217739,False
8,1,01011110,4,0.0078125,30.289217739,False
8,1,00011110,6,0.01171875,29.609671155,False
8,1,11100001,3,0.005859375,29.609671155,False
8,1,11101000,2,0.00390625,28.973535285999997,False
8,1,00010111,1,0.001953125,28.973535285999997,False
8,1,01011010,7,0.013671875,28.322072069,False
8,1,10100101,3,0.005859375,28.322072069,False
8,1,10101000,2,0.00390625,28.293988701999996,False
8,1,01010111,1,0.001953125,28.293988701999996,False
8,1,00001101,1,0.001953125,27.820013525,False
8,1,00011010,2,0.00390625,27.642525485,False
8,1,11100101,2,0.00390625,27.642525485,False
8,1,10110010,1,0.001953125,27.140466941,False
8,1,01001101,1,0.001953125,27.140466941,False
8,1,11101100,1,0.001953125,27.006389615999996,False
8,1,10101100,3,0.005859375,26.326843032,False
8,1,01010011,2,0.00390625,26.326843032,False
8,1,01010110,1,0.001953125,26.059249493,False
8,1,11111000,1,0.001953125,25.736834299999998,False
8,1,11101001,1,0.001953125,25.379702909,False
8,1,01000111,1,0.001953125,25.057287715999998,False
8,1,10111000,1,0.001953125,25.057287715999998,False
8,1,10110011,1,0.001953125,24.905727732,False
8,1,00011101,2,0.00390625,24.583312539,False
8,1,11110011,1,0.001953125,24.226181148,False
8,1,01011101,1,0.001953125,23.903765955,False
8,1,00000011,1,0.001953125,23.769688629999997,False
8,1,11101101,1,0.001953125,23.412557238999998,False
8,1,11001010,2,0.00390625,23.195702655999998,False
8,1,00110101,1,0.001953125,23.195702655999998,False
8,1,01000011,1,0.001953125,23.090142046,False
8,1,10111100,1,0.001953125,23.090142046,False
8,1,01001000,2,0.00390625,22.938582062,False
8,1,11100110,1,0.001953125,22.616166869,False
8,1,01110101,3,0.005859375,22.516156071999998,False
8,1,10001010,1,0.001953125,22.516156071999998,False
8,1,00000110,1,0.001953125,22.143001923,False
8,1,01011001,2,0.00390625,21.936620285,False
8,1,01011100,1,0.001953125,21.669026746,False
8,1,11001110,1,0.001953125,21.228556985999997,False
8,1,01000010,1,0.001953125,20.855402837,False
8,1,11111101,1,0.001953125,20.175856253,False
