n,p,reinicio,fuente_elegida,convergencia_scipy,iteraciones,evaluaciones,esperanza,razon_esperada,probabilidad_optimo,bitstring_mas_probable,costo_bitstring_mas_probable,probabilidad_mas_alta,norma,gamma_escalado_1,gamma_fisico_1,beta_1,gamma_escalado_2,gamma_fisico_2,beta_2,gamma_escalado_3,gamma_fisico_3,beta_3
6,1,1,optimizado,True,6,30,32.11344632476573,0.8384320074488435,0.15741750635745325,100010,38.30178957666869,0.07870875317872662,1.0000000000000004,3.6814349449326413,0.09611652576795537,0.3926990925305112,,,,,,
6,1,2,optimizado,True,6,30,32.11344632476563,0.8384320074488409,0.15741750530002155,100010,38.30178957666869,0.07870875265001077,0.9999999999999998,3.6814351969787755,0.09611653234848691,0.3926990744806788,,,,,,
6,1,3,optimizado,True,6,30,32.11344632476569,0.8384320074488424,0.15741750436907256,100010,38.30178957666869,0.07870875218453628,1.0000000000000004,3.681434723076952,0.09611651997564928,0.3926990745303955,,,,,,
6,1,4,optimizado,True,6,42,32.11344632476574,0.8384320074488437,0.1574175064698995,100010,38.30178957666869,0.07870875323494975,1.0000000000000009,3.6814349708088896,0.09611652644354386,0.392699093243063,,,,,,
6,1,5,optimizado,True,11,39,32.11344632476566,0.8384320074488417,0.1574175043618458,100010,38.30178957666869,0.0787087521809229,1.0,3.68143511324665,0.09611653016237168,1.963495392302728,,,,,,
6,1,6,optimizado,True,11,39,32.11344632476573,0.8384320074488435,0.15741750557028278,100010,38.30178957666869,0.07870875278514139,1.0,3.6814349522933925,0.0961165259601331,1.9634954100186477,,,,,,
6,2,1,optimizado,True,1,15,32.11344632476575,0.8384320074488439,0.15741750471077126,100010,38.30178957666869,0.07870875235538563,1.0000000000000007,3.681434968094326,0.09611652637267085,0.3926990728838341,2.7145638516586834e-09,7.087302921265825e-11,0.0,,,
6,2,2,optimizado,True,31,220,33.63122312793922,0.8780587930350001,0.2184214892249874,100010,38.30178957666869,0.1092107446124937,0.9999999999999989,2.5463358423992273,0.06648085821717861,0.5370870735611494,5.469903771606041,0.1428106579841866,0.23408271242889028,,,
6,2,3,optimizado,True,40,230,33.631223127940316,0.8780587930350287,0.2184214864847911,100010,38.30178957666869,0.10921074324239555,1.0000000000000004,2.54633349713781,0.06648079698606009,0.5370872586705523,5.469902495590331,0.14281062466940617,0.23408295423699593,,,
6,2,4,optimizado,True,32,285,33.631223127939585,0.8780587930350096,0.21842150058068235,100010,38.30178957666869,0.10921075029034118,1.0000000000000004,2.54633513477503,0.06648083974221425,0.5370872236591505,5.469904575562607,0.1428106789742389,0.23408285179468774,,,
6,2,5,optimizado,True,14,85,32.113446324765555,0.838432007448839,0.1574175053623169,100010,38.30178957666869,0.07870875268115846,0.9999999999999993,2.7870376571406803,0.0727652072617911,3.141592653589793,0.8943976427701132,0.023351327774090287,0.3926990728457243,,,
6,2,6,optimizado,True,34,245,33.631223127938526,0.8780587930349819,0.21842144032670063,100010,38.30178957666869,0.10921072016335032,0.9999999999999998,2.54633250451993,0.06648077107035508,2.1078833742843024,5.469899553920799,0.14281054786700179,0.23408285086070785,,,
6,2,7,optimizado,True,14,85,32.11344632476556,0.8384320074488391,0.15741750396081117,100010,38.30178957666869,0.07870875198040558,1.0000000000000009,3.6814345280775167,0.0961165148845181,1.1085459990965356,0.0,0.0,0.8549494019567218,,,
6,2,8,optimizado,True,24,140,33.63122312794028,0.8780587930350277,0.21842146145598687,100010,38.30178957666869,0.10921073072799344,0.9999999999999998,2.546333274914165,0.06648079118414724,0.5370871267536911,5.469901684510476,0.14281060349337593,1.8048792075793831,,,
6,2,9,optimizado,True,25,145,33.63122312790085,0.8780587930339983,0.21842150008852634,100010,38.30178957666869,0.10921075004426317,1.0000000000000009,2.5463279876554563,0.06648065314206704,0.5370879997869737,5.46989812335924,0.14281051051727023,0.23408344157889277,,,
6,2,10,optimizado,True,12,70,32.11344632476573,0.8384320074488435,0.15741750445449068,100010,38.30178957666869,0.07870875222724534,1.0000000000000004,3.681434850024762,0.09611652329005864,1.9634953994085542,0.562310910814247,0.014681061042046724,3.141592653589793,,,
6,3,1,optimizado,True,1,21,33.631223127940345,0.8780587930350294,0.21842147991758387,100010,38.30178957666869,0.10921073995879194,0.9999999999999996,2.54633349713781,0.06648079698606009,0.5370872410701122,5.469902495590331,0.14281062466940617,0.23408292406481274,0.0,0.0,0.0
6,3,2,optimizado,True,51,504,35.135984520981594,0.9173457665582081,0.3792348045729933,100010,38.30178957666869,0.18961740228649665,1.0000000000000009,3.0460072946261167,0.07952650067232629,0.5982047406146546,5.250199007588079,0.1370745091922211,0.45898145955832825,5.903443761784392,0.15412971108731813,0.29902871478288623
6,3,3,optimizado,True,52,455,35.13598452098282,0.9173457665582401,0.3792347701492646,100010,38.30178957666869,0.1896173850746323,0.9999999999999992,3.0460075930693047,0.07952650846421255,0.5982047480202383,5.250197363336089,0.1370744662633656,0.45898147025636066,5.903442899353979,0.15412968857060486,0.2990286676870169
6,3,4,optimizado,True,18,140,33.63122312795594,0.8780587930354365,0.2184214477993501,100010,38.30178957666869,0.10921072389967505,0.9999999999999993,2.5463323990393705,0.06648076831642215,0.5370871340754897,5.469900388688901,0.14281056966149522,0.23406657468808356,7.001358955354835e-07,1.8279456475778655e-08,1.63239728103293e-05
6,3,5,optimizado,True,29,245,33.631223127939776,0.8780587930350146,0.21842150995535894,100010,38.30178957666869,0.10921075497767947,1.0,2.5463353193645855,0.06648084456155971,2.107883558427981,5.469904321312461,0.14281067233616404,1.8048791903964299,1.8079606299559623,0.047203032805402625,3.141592653589793
6,3,6,optimizado,True,51,525,33.63122312793506,0.8780587930348913,0.2184214441851594,100010,38.30178957666869,0.1092107220925797,0.9999999999999987,2.546335885078368,0.06648085933146443,0.5370868720036357,2.61106373346585e-06,6.817080251951485e-08,3.141592653589793,5.469899263413453,0.14281054028230797,1.8048787998188425
6,3,7,optimizado,True,23,175,32.11344632476559,0.8384320074488398,0.15741750613589625,100010,38.30178957666869,0.07870875306794813,1.0000000000000004,2.8433278104315556,0.0742348553881859,3.141592653589793,0.838107490919866,0.021881679685308048,0.5601182019304403,0.0,0.0,1.4033772066575256
6,3,8,optimizado,True,43,336,35.1359845209779,0.9173457665581116,0.37923478398600524,100010,38.30178957666869,0.18961739199300262,1.0000000000000013,3.0460075245402365,0.07952650667502544,2.1690012195317436,5.250199772921143,0.137074529173874,0.4589815499937196,5.903444581045144,0.15412973247693884,0.29902876023268593
6,3,9,optimizado,True,34,315,35.135984520974446,0.9173457665580215,0.37923475684027746,100010,38.30178957666869,0.18961737842013873,0.9999999999999997,3.0460082848983765,0.0795265265267908,2.169001248036212,5.250194539288214,0.13707439253187925,0.4589817585120912,5.90344117379137,0.15412964351885589,1.8698254670747865
6,3,10,optimizado,True,38,343,33.63122312794003,0.8780587930350212,0.21842150439464963,100010,38.30178957666869,0.10921075219732482,1.0000000000000002,1.1626177867401313,0.030354137484163986,3.141592653589793,1.3837174337241644,0.036126704495263375,2.1078835403896186,5.469904002755141,0.14281066401912917,1.804879172029295
6,3,11,optimizado,True,38,329,35.13598452097776,0.917345766558108,0.3792348213048408,100010,38.30178957666869,0.1896174106524204,1.0000000000000004,3.046006134637672,0.07952647038683681,2.169000776109385,5.250198165322785,0.13707448720198767,0.4589813466176234,5.903445044938571,0.15412974458847284,1.8698249979004298
6,3,12,optimizado,True,35,315,35.13598452098166,0.9173457665582098,0.3792348436724204,100010,38.30178957666869,0.1896174218362102,1.0000000000000009,3.0460088671154533,0.0795265417275708,2.1690011369536752,5.250198980457063,0.1370745084838726,0.4589815706732477,5.9034433684354495,0.15412970081759061,0.2990288619371788
8,1,1,optimizado,True,11,39,34.26318835186905,0.8115770098869269,0.0468782647750566,11010010,42.218037146668195,0.0234391323875283,1.0000000000000004,4.0305437245882425,0.0954697090833173,0.39269909681599496,,,,,,
8,1,2,optimizado,True,6,36,34.263188351869076,0.8115770098869277,0.04687826357819908,11010010,42.218037146668195,0.02343913178909954,1.0000000000000004,4.030543412692703,0.0954697016955854,0.39269907004967425,,,,,,
8,1,3,optimizado,True,6,30,34.26318835186905,0.8115770098869269,0.04687826364356625,11010010,42.218037146668195,0.023439131821783126,1.0,4.030543663402644,0.09546970763404104,0.3926990637748845,,,,,,
8,1,4,optimizado,True,7,33,34.263188351869076,0.8115770098869277,0.04687826409569243,11010010,42.218037146668195,0.023439132047846215,1.0,4.030543404786831,0.09546970150832251,1.9634954131443512,,,,,,
8,1,5,optimizado,True,6,30,34.26318835186908,0.8115770098869278,0.04687826369593861,11010010,42.218037146668195,0.023439131847969304,1.0,4.030543541832519,0.09546970475446319,0.39269906942299854,,,,,,
8,1,6,optimizado,True,6,30,34.26318835186906,0.8115770098869273,0.04687826460369554,11010010,42.218037146668195,0.02343913230184777,1.0000000000000007,4.0305437843738225,0.09546971049943193,0.3926990895258024,,,,,,
8,2,1,optimizado,True,1,20,34.26318835186908,0.8115770098869278,0.04687826377660913,11010010,42.218037146668195,0.023439131888304564,1.0,4.030543541832519,0.09546970475446319,0.39269906906583846,0.0,0.0,2.857280672393781e-09,,,
8,2,2,optimizado,True,33,205,36.092385310499424,0.8549043903669319,0.07680700151289233,11010010,42.218037146668195,0.03840350075644616,1.0000000000000007,2.9235044992858072,0.0692477598860681,0.5291866807179657,6.068943105576399,0.14375237494583293,0.23115252321163368,,,
8,2,3,optimizado,True,31,200,36.09238531050072,0.8549043903669625,0.07680697534346233,11010010,42.218037146668195,0.038403487671731164,1.0,2.9235022251665588,0.06924770602000985,0.5291866286701038,6.068940651967325,0.14375231682827844,0.2311525521780229,,,
8,2,4,optimizado,True,34,210,36.092385310500845,0.8549043903669655,0.07680698482108617,11010010,42.218037146668195,0.03840349241054308,1.0,2.923503006269447,0.06924772452164897,0.5291865925539223,6.06894080014451,0.143752320338086,0.2311525565459262,,,
8,2,5,optimizado,True,28,155,36.09238531050041,0.8549043903669553,0.07680697033522418,11010010,42.218037146668195,0.03840348516761209,1.0,2.923501567935343,0.0692476904524643,0.5291866264167012,6.068939325098797,0.14375228539932963,1.8019489092110246,,,
8,2,6,optimizado,True,14,80,34.263188351869026,0.8115770098869265,0.04687826364711627,11010010,42.218037146668195,0.023439131823558133,0.9999999999999993,4.030543669442646,0.0954697077771079,1.9634953904798276,5.233673419417146,0.12396771079313623,3.141592653589793,,,
