n,p,shots,seed,n_aristas,gammas_fisicos,betas,razon_ideal,razon_guppy,error_absoluto,costo_esperado,mejor_costo,optimo_exacto,probabilidad_optimo,observo_optimo,estados_observados,operaciones_h,operaciones_rx,operaciones_zz,tiempo_segundos,validado
6,1,512,2026,5,[0.09611652644354386],[0.392699093243063],0.8384320074488437,0.846622034963739,0.008190027514895282,32.42713903527929,38.301789578000005,38.301789578,0.162109375,True,37,6,6,5,7.031551928000226,True
6,2,512,2026,5,"[0.06648079698606009, 0.14281062466940617]","[0.5370872586705523, 0.23408295423699593]",0.8780587930350287,0.8823038099990466,0.004245016964017911,33.79381487445117,38.301789578000005,38.301789578,0.220703125,True,29,6,12,10,7.0869826580001245,True
6,3,512,2026,5,"[0.07952650846421255, 0.1370744662633656, 0.15412968857060486]","[0.5982047480202383, 0.45898147025636066, 0.2990286676870169]",0.9173457665582401,0.9243764193545335,0.007030652796293446,35.405271104982425,38.301789578000005,38.301789578,0.400390625,True,28,6,18,15,7.1646802519999255,True
8,1,512,2026,7,[0.09546970475446319],[0.39269906942299854],0.8115770098869278,0.8146386083463986,0.003061598459470738,34.39244302936328,42.218037148,42.218037148,0.04296875,True,110,8,8,7,7.379931776999911,True
8,2,512,2026,7,"[0.06924769935725746, 0.14375230097402888]","[0.5291866525161367, 1.8019489504534667]",0.8549043903669657,0.8552982397018927,0.0003938493349269212,36.109012856353516,42.218037148,42.218037148,0.05859375,True,79,8,16,14,7.877134272999683,True
8,3,512,2026,7,"[0.07757595472153715, 0.13582782857573483, 0.14882703535347191]","[2.1586015042784155, 1.986191237234369, 1.8305986331067317]",0.8944506914927616,0.8926166780452027,0.0018340134475588465,37.68452407263673,42.218037148,42.218037148,0.1640625,True,77,8,24,21,6.766919224999583,True
10,1,512,2026,9,[0.04930168766689827],[0.392699078691232],0.7937779030146882,0.7956052651856603,0.0018273621709721244,69.27736651825,87.07504782800002,87.07504782800001,0.017578125,True,263,10,10,9,7.79940235399954,True
10,2,512,2026,9,"[0.03730248900539423, 0.07215827569329401]","[2.062768376682386, 1.7798315523563017]",0.8432260572185334,0.8450325884133438,0.0018065311948104457,73.58125305231056,87.07504782800002,87.07504782800001,0.0234375,True,208,10,20,18,7.695701980999729,True
10,3,512,2026,9,"[0.03610147913864077, 0.07014521620481483, 0.07215827569329401]","[2.1327026822716824, 1.8829327178435242, 0.16068418595078163]",0.871222419993462,0.8701128813719863,0.0011095386214756697,75.76512076122461,87.07504782800002,87.07504782800001,0.037109375,True,182,10,30,27,7.960526023000057,True
12,1,512,2026,11,[0.049831860807089914],[0.3926990854865166],0.780928776008686,0.7796605108009957,0.0012682652076903,72.74203042836524,93.29962133600002,93.299621336,0.001953125,True,414,12,12,11,8.434003128999393,True
12,2,512,2026,11,"[0.035833873663952374, 0.06734416728822452]","[0.4719901999808215, 0.2029283727010419]",0.8259700272769053,0.8277050636968585,0.0017350364199532065,77.22456902080665,93.29962133600002,93.299621336,0.00390625,True,372,12,24,22,9.429403252000156,True
12,3,512,2026,11,"[0.036031062597456365, 0.06734416728822452, 0.06734416728822452]","[0.526293468215285, 0.26592697199368337, 1.7137344449651906]",0.8538934849468585,0.8527762234168134,0.0011172615300450994,79.56369872913282,93.29962133600002,93.299621336,0.0078125,True,339,12,36,33,9.746838875999856,True
