n,p,inicializaciones,convergencias,media,desviacion_estandar,minimo,maximo,indice_mejor_reinicio,mejor_reinicio,mejor_reinicio_convergio
6,1,6,6,0.8384320074488426,1.148423626505646e-15,0.8384320074488409,0.8384320074488437,4,0.8384320074488437,True
6,2,10,10,0.8622080788004413,0.020463184085107857,0.838432007448839,0.8780587930350287,3,0.8780587930350287,True
6,3,12,12,0.8944000476644276,0.02633117860355951,0.8384320074488398,0.91734576655824,3,0.91734576655824,True
8,1,6,6,0.8115770098869274,4.2998752849492583e-16,0.8115770098869269,0.8115770098869278,5,0.8115770098869278,True
8,2,10,10,0.8375734381749439,0.022374163071192422,0.8115770098869259,0.8549043903669657,7,0.8549043903669657,True
8,3,12,12,0.8743624509836345,0.027437926559627655,0.8115770098869259,0.8944506914927616,10,0.8944506914927616,True
10,1,6,6,0.7937779030146842,4.564353565273089e-15,0.7937779030146769,0.7937779030146882,2,0.7937779030146882,True
10,2,10,10,0.8333364263777602,0.020849172450049493,0.7937779030146848,0.8432260572185334,5,0.8432260572185334,True
10,3,12,12,0.8533083202276476,0.023226378231182034,0.7937779030146852,0.871222419993462,4,0.871222419993462,True
12,1,6,6,0.7809287760086803,5.809129918598619e-15,0.7809287760086714,0.780928776008686,4,0.780928776008686,True
12,2,10,10,0.807953526769612,0.023259202140551976,0.7809287760086763,0.8259700272769053,4,0.8259700272769053,True
12,3,12,11,0.8395878924258738,0.022044963014519078,0.7809287760086554,0.8538934849468585,10,0.8538934849468585,True
